,device,bat_capacity,current_cost,battery_cost
3,DD44108847037,8,-873.5223537230021,-473.10091692062656
4,DD44108847037,10,-873.5223537230021,-427.82067324597654
5,DD44108847037,12,-873.5223537230021,-401.5350781277444
6,DD44108847037,14,-873.5223537230021,-387.795119208102
7,DD44108847037,16,-873.5223537230021,-379.8107220647287
8,DD44108847037,18,-873.5223537230021,-374.64091594059494
9,DD44108847037,20,-873.5223537230021,-371.017593045641
0,DD44108853265,2,-352.41123560999546,-1769.1451019672893
1,DD44108853265,4,-352.41123560999546,-1659.8524966594503
2,DD44108853265,6,-352.41123560999546,-1579.4957437209557
3,DD44108853265,8,-352.41123560999546,-1518.9056499231988
4,DD44108853265,10,-352.41123560999546,-1476.1876354253056
5,DD44108853265,12,-352.41123560999546,-1446.781871809104
6,DD44108853265,14,-352.41123560999546,-1427.9034383583855
7,DD44108853265,16,-352.41123560999546,-1414.9627921600802
8,DD44108853265,18,-352.41123560999546,-1405.2127974045525
9,DD44108853265,20,-352.41123560999546,-1397.0831861443678
0,DD54108225423,2,-1812.8432944439517,156.6124757676137
1,DD54108225423,4,-1812.8432944439517,256.7251771792976
2,DD54108225423,6,-1812.8432944439517,301.6467452305619
3,DD54108225423,8,-1812.8432944439517,321.1736963862907
4,DD54108225423,10,-1812.8432944439517,329.76604185423435
5,DD54108225423,12,-1812.8432944439517,334.5287038541767
6,DD54108225423,14,-1812.8432944439517,338.04468168264884
7,DD54108225423,16,-1812.8432944439517,341.00634450467703
8,DD54108225423,18,-1812.8432944439517,342.79044792616946
9,DD54108225423,20,-1812.8432944439517,343.8854718022145
